Time,Channel A
(ms),(mV)

0.08400000,9.84251881
0.08500000,8.26771641
0.08600000,11.02362156
0.08700000,7.87401533
0.08800000,10.23621941
0.08900000,9.05511761
0.09000000,10.62992096
0.09100000,12.59842396
0.09200000,11.02362156
0.09300000,8.66141701
0.09400000,10.62992096
0.09500000,9.05511761
0.09600000,12.20472336
0.09700000,8.66141701
0.09800000,10.62992096
0.09900000,10.23621941
0.10000000,10.62992096
0.10100000,11.02362156
0.10200000,9.44881821
0.10300000,7.48031425
0.10400000,11.41732216
0.10500000,8.66141701
0.10600000,11.81102276
0.10700000,8.66141701
0.10800000,10.62992096
0.10900000,11.02362156
0.11000000,10.62992096
0.11100000,12.59842396
0.11200000,10.23621941
0.11300000,9.05511761
0.11400000,12.99212551
0.11500000,10.23621941
0.11600000,12.99212551
0.11700000,9.44881821
0.11800000,11.81102276
0.11900000,11.41732216
0.12000000,12.59842396
0.12100000,12.20472336
0.12200000,9.84251881
0.12300000,9.84251881
0.12400000,13.38582611
0.12500000,10.23621941
0.12600000,13.77952671
0.12700000,11.81102276
0.12800000,11.41732216
0.12900000,12.20472336
0.13000000,12.20472336
0.13100000,14.17322731
0.13200000,12.59842396
0.13300000,11.02362156
0.13400000,13.38582611
0.13500000,11.02362156
0.13600000,13.38582611
0.13700000,12.99212551
0.13800000,12.59842396
0.13900000,12.99212551
0.14000000,12.59842396
0.14100000,12.20472336
0.14200000,11.81102276
0.14300000,9.44881821
0.14400000,13.38582611
0.14500000,11.02362156
0.14600000,11.81102276
0.14700000,14.56692791
0.14800000,10.62992096
0.14900000,10.62992096
0.15000000,11.41732216
0.15100000,11.02362156
0.15200000,13.38582611
0.15300000,11.02362156
0.15400000,11.81102276
0.15500000,11.41732216
0.15600000,11.02362156
0.15700000,14.17322731
0.15800000,9.44881821
0.15900000,11.02362156
0.16000000,10.62992096
0.16100000,10.62992096
0.16200000,12.59842396
0.16300000,11.41732216
0.16400000,11.81102276
0.16500000,10.62992096
0.16600000,11.02362156
0.16700000,12.20472336
0.16800000,9.84251881
0.16900000,9.84251881
0.17000000,10.23621941
0.17100000,11.02362156
0.17200000,12.20472336
0.17300000,9.44881821
0.17400000,11.41732216
0.17500000,10.23621941
0.17600000,10.62992096
0.17700000,12.59842396
0.17800000,9.05511761
0.17900000,11.02362156
0.18000000,8.66141701
0.18100000,10.62992096
0.18200000,11.02362156
0.18300000,11.02362156
0.18400000,10.62992096
0.18500000,11.81102276
0.18600000,9.05511761
0.18700000,12.99212551
0.18800000,9.05511761
0.18900000,9.84251881
0.19000000,9.05511761
0.19100000,10.23621941
0.19200000,11.81102276
0.19300000,9.84251881
0.19400000,9.44881821
0.19500000,11.02362156
0.19600000,9.05511761
0.19700000,11.81102276
0.19800000,9.44881821
0.19900000,9.44881821
0.20000000,9.44881821
0.20100000,7.87401533
0.20200000,9.84251881
0.20300000,11.41732216
0.20400000,11.02362156
0.20500000,10.62992096
0.20600000,8.26771641
0.20700000,10.23621941
0.20800000,9.05511761
0.20900000,7.48031425
0.21000000,9.44881821
0.21100000,9.05511761
0.21200000,10.23621941
0.21300000,11.02362156
0.21400000,9.05511761
0.21500000,11.81102276
0.21600000,9.44881821
0.21700000,10.62992096
0.21800000,10.23621941
0.21900000,7.08661366
0.22000000,9.44881821
0.22100000,9.05511761
0.22200000,8.66141701
0.22300000,11.02362156
0.22400000,7.87401533
0.22500000,11.41732216
0.22600000,11.02362156
0.22700000,12.20472336
0.22800000,11.02362156
0.22900000,9.05511761
0.23000000,10.23621941
0.23100000,11.41732216
0.23200000,9.05511761
0.23300000,12.20472336
0.23400000,10.62992096
0.23500000,10.23621941
0.23600000,11.41732216
0.23700000,11.81102276
0.23800000,11.02362156
0.23900000,10.23621941
0.24000000,9.05511761
0.24100000,11.02362156
0.24200000,9.84251881
0.24300000,11.02362156
0.24400000,11.02362156
0.24500000,9.05511761
0.24600000,11.02362156
0.24700000,12.59842396
0.24800000,9.84251881
0.24900000,11.02362156
0.25000000,10.62992096
0.25100000,10.23621941
0.25200000,10.62992096
0.25300000,10.62992096
0.25400000,12.99212551
0.25500000,11.41732216
0.25600000,11.02362156
0.25700000,11.81102276
0.25800000,10.23621941
0.25900000,13.77952671
0.26000000,11.81102276
0.26100000,11.41732216
0.26200000,11.81102276
0.26300000,11.02362156
0.26400000,12.59842396
0.26500000,11.41732216
0.26600000,11.41732216
0.26700000,12.99212551
0.26800000,10.62992096
0.26900000,12.59842396
0.27000000,11.41732216
0.27100000,12.20472336
0.27200000,11.41732216
0.27300000,11.02362156
0.27400000,12.59842396
0.27500000,13.38582611
0.27600000,11.41732216
0.27700000,13.77952671
0.27800000,9.84251881
0.27900000,12.20472336
0.28000000,11.41732216
0.28100000,11.02362156
0.28200000,11.02362156
0.28300000,11.02362156
0.28400000,9.05511761
0.28500000,12.99212551
0.28600000,10.23621941
0.28700000,13.38582611
0.28800000,9.44881821
0.28900000,12.20472336
0.29000000,11.41732216
0.29100000,11.81102276
0.29200000,9.84251881
0.29300000,11.41732216
0.29400000,9.44881821
0.29500000,12.59842396
0.29600000,9.44881821
0.29700000,10.23621941
0.29800000,10.23621941
0.29900000,11.41732216
0.30000000,11.41732216
0.30100000,11.41732216
0.30200000,8.26771641
0.30300000,11.02362156
0.30400000,9.05511761
0.30500000,12.20472336
0.30600000,10.23621941
0.30700000,9.05511761
0.30800000,11.02362156
0.30900000,11.02362156
0.31000000,9.44881821
0.31100000,8.26771641
0.31200000,7.48031425
0.31300000,12.20472336
0.31400000,7.48031425
